location_id,name,rating,num_reviews,ranking,category,subcategory,street1,city,country,postalcode,address_string
5998765,Praca Dos Restauradores,4.0,581,,attraction,"landmarks, attractions",Avenida da Liberdade,Lisbon,Portugal,1250-001,"Avenida da Liberdade, Lisbon 1250-001 Portugal"
8460163,ColourTrip Lisbon,5.0,2983,,attraction,"sightseeing_tours, activities, outdoor_activities",,Lisbon,Portugal,,Lisbon Portugal
10807704,Nosso Tejo,4.8,2734,,attraction,"boat_tours_water_sports, outdoor_activities, sightseeing_tours, activities",,Lisbon,Portugal,1100-278,Lisbon 1100-278 Portugal
7697318,Tuk-Tuk Fun Tours,4.8,382,,attraction,"sightseeing_tours, activities",,Lisbon,Portugal,,Lisbon Portugal
2412618,Rua dos Correeiros Archaeological Nucleus,4.6,150,,attraction,"landmarks, attractions, museums",Rua dos Correeiros 15 23,Lisbon,Portugal,1100-161,"Rua dos Correeiros 15 23, Lisbon 1100-161 Portugal"
3954222,Halcyon I - Historical Lisbon Boat Tours,4.9,281,,attraction,"boat_tours_water_sports, outdoor_activities, sightseeing_tours, activities",Doca de Alcantara Norte 701,Lisbon,Portugal,1350-352,"Doca de Alcantara Norte 701, Lisbon 1350-352 Portugal"
660835,Ulysses S. Grant National Historical Site,4.5,574,,attraction,"landmarks, attractions",7400 Grant Rd,Saint Louis,United States,63123-1801,"7400 Grant Rd, Saint Louis, MO 63123-1801"
15518965,EcoMassage Lisbon,4.9,1553,,attraction,"wellness_spas, activities",Rua aurea 260,Lisbon,Portugal,1100-062,"Rua aurea 260 Praça Rossio, Lisbon 1100-062 Portugal"
3203667,Around Lisbon,4.8,1546,,attraction,"boat_tours_water_sports, outdoor_activities, sightseeing_tours, activities",,Lisbon,Portugal,,Lisbon Portugal
1823200,Lisbon Bike Tour,4.9,785,,attraction,"sightseeing_tours, activities, outdoor_activities",Alameda Cardeal Cerejeira,Lisbon,Portugal,1070-044,"Alameda Cardeal Cerejeira, Lisbon 1070-044 Portugal"
2353620,Miradouro Sao Pedro de Alcantara,4.5,3629,,attraction,"landmarks, attractions, sightseeing_tours, activities",Rua De Sao Pedro De Alcantara,Lisbon,Portugal,1200-470,"Rua De Sao Pedro De Alcantara Jardim Dos Namorados, Lisbon 1200-470 Portugal"
7374624,Culinary Backstreets Lisbon,5.0,1727,,attraction,"food_drink, sightseeing_tours, activities",,Lisbon,Portugal,,Lisbon Portugal
12108295,Lisbon's Tiles,5.0,28,,attraction,shopping,Rua do Salvador 56,Lisbon,Portugal,1100-466,"Rua do Salvador 56, Lisbon 1100-466 Portugal"
197707,Feira Da Ladra (campo De Santa Clara),3.7,760,,attraction,shopping,Campo de Santa Clara,Lisbon,Portugal,1100-472,"Campo de Santa Clara, Lisbon 1100-472 Portugal"
6514279,Jardim Da Estrela Park,4.4,374,,attraction,"nature_parks, attractions",Praca da Estrela 12,Lisbon,Portugal,1200-694,"Praca da Estrela 12, Lisbon 1200-694 Portugal"
245903,Parque Eduardo VII,4.2,2062,,attraction,"fun_games, nature_parks, attractions, activities",,Lisbon,Portugal,1070-051,Lisbon 1070-051 Portugal
4783459,Park,4.0,1450,,attraction,nightlife,Calcada do Combro 58,Lisbon,Portugal,1200-123,"Calcada do Combro 58, Lisbon 1200-123 Portugal"
4053330,Avenida da Liberdade,4.3,2464,,attraction,"landmarks, attractions",,Lisbon,Portugal,1250-096,Lisbon 1250-096 Portugal
195785,Park and National Palace of Pena,4.2,20366,,attraction,"landmarks, attractions",Estrada da Pena,Sintra,Portugal,2710-609,"Estrada da Pena, Sintra 2710-609 Portugal"
2211899,Miradouro de Santa Luzia,4.4,1755,,attraction,"landmarks, attractions",Largo de Santa Luzia,Lisbon,Portugal,1100-487,"Largo de Santa Luzia Alfama, Lisbon 1100-487 Portugal"
12258331,Cycling Lisbon,5.0,165,,attraction,"sightseeing_tours, activities, outdoor_activities",Alto do Parque Alameda Cardeal Cerejeira,Lisbon,Portugal,1070-044,"Alto do Parque Alameda Cardeal Cerejeira Park Metro Station, Lisbon 1070-044 Portugal"
8754881,Miradouro Das Portas Do Sol,4.5,535,,attraction,"landmarks, attractions",Largo Das Portas Do Sol,Lisbon,Portugal,1100-411,"Largo Das Portas Do Sol Alfama, Lisbon 1100-411 Portugal"
2043527,Lisbon Walker,4.8,409,,attraction,"sightseeing_tours, activities",Rua do Jardim do Tabaco 126 Slj,Lisbon,Portugal,1100-288,"Rua do Jardim do Tabaco 126 Slj, Lisbon 1100-288 Portugal"
4374164,Fjellstua Viewpoint,4.6,1753,,attraction,"landmarks, attractions",Parkgata 11,Alesund,Norway,6003,"Parkgata 11, Alesund 6003 Norway"
2108391,Stegastein Viewpoint,4.7,782,,attraction,"landmarks, attractions",Bjorgavegen 83,Aurlandsvangen,Norway,5745,"Bjorgavegen 83, Aurlandsvangen 5745 Norway"
